dias;antelacion;checkin;checkout;reserva;pension;categoria_habitacion;num_adults;num_childs;precio_habitacion;agency_commission;discount_amount;status;segmento;is_from_channel;operador;Edad Actual;gender;state;province;postal_code;evento
2;2;16/06/2024;18/06/2024;14/06/2024 18:10;1;94;4;0;601.44;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;2;16/06/2024;18/06/2024;14/06/2024 18:10;1;94;4;0;601.44;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;5;18/06/2024;19/06/2024;13/06/2024 14:10;1;94;2;0;150.36;0;0;4;NULL;1;PARITYRATE;NULL;0;233;;;NULL
2;1;14/06/2024;16/06/2024;13/06/2024 10:55;1;94;2;0;535.92;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;45;27/07/2024;28/07/2024;12/06/2024 21:10;1;94;6;0;456.45;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;45;27/07/2024;28/07/2024;12/06/2024 21:10;1;94;6;0;456.45;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;45;27/07/2024;28/07/2024;12/06/2024 21:10;1;94;6;0;456.45;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;35;11/07/2024;14/07/2024;06/06/2024 22:00;1;94;2;0;559.55;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;38;14/07/2024;17/07/2024;06/06/2024 21:30;1;94;2;0;311.92;0;0;4;NULL;1;PARITYRATE;NULL;0;75;;;NULL
3;38;14/07/2024;17/07/2024;06/06/2024 21:30;1;94;2;0;311.92;0;0;4;NULL;1;PARITYRATE;NULL;0;75;;;NULL
3;38;14/07/2024;17/07/2024;06/06/2024 21:15;1;94;2;0;366.96;0;0;2;NULL;1;PARITYRATE;NULL;0;75;;;NULL
3;38;14/07/2024;17/07/2024;06/06/2024 21:15;1;94;2;0;366.96;0;0;2;NULL;1;PARITYRATE;NULL;0;75;;;NULL
1;0;06/06/2024;07/06/2024;06/06/2024 2:10;1;94;2;0;176.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
5;15;20/06/2024;25/06/2024;05/06/2024 13:50;1;94;2;0;877.81;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;1;05/06/2024;06/06/2024;04/06/2024 17:50;1;94;2;0;176.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;14;17/06/2024;18/06/2024;03/06/2024 9:00;1;94;2;0;150.36;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;3;04/06/2024;07/06/2024;01/06/2024 13:47;1;94;2;0;467.88;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;3;04/06/2024;07/06/2024;01/06/2024 13:15;1;94;2;0;467.88;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
5;1;02/06/2024;07/06/2024;01/06/2024 2:47;1;94;2;0;735.00;0;0;4;NULL;1;PARITYRATE;NULL;0;237;;;NULL
1;22;20/06/2024;21/06/2024;29/05/2024 10:55;1;94;2;0;150.36;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;47;14/07/2024;17/07/2024;28/05/2024 22:35;1;94;2;0;311.92;0;0;4;NULL;1;PARITYRATE;NULL;0;38;;;NULL
1;23;20/06/2024;21/06/2024;28/05/2024 17:15;1;94;2;0;141.96;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;9;05/06/2024;06/06/2024;27/05/2024 12:00;1;94;2;0;133.56;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;10;06/06/2024;07/06/2024;27/05/2024 11:05;1;94;2;0;150.36;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;8;03/06/2024;07/06/2024;26/05/2024 22:00;1;94;2;0;655.99;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;3;29/05/2024;30/05/2024;26/05/2024 11:55;1;94;2;0;251.16;0;0;4;NULL;1;PARITYRATE;NULL;0;82;;;NULL
2;0;24/05/2024;26/05/2024;24/05/2024 18:45;1;94;2;0;578.55;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;1;23/05/2024;26/05/2024;22/05/2024 22:47;1;94;2;0;747.66;0;0;4;NULL;1;PARITYRATE;NULL;0;43;;;NULL
5;134;02/10/2024;07/10/2024;21/05/2024 18:50;1;94;2;0;845.89;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;0;19/05/2024;21/05/2024;19/05/2024 10:35;1;94;2;0;267.12;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;2;20/05/2024;21/05/2024;18/05/2024 10:30;1;94;2;0;133.56;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
6;60;16/07/2024;22/07/2024;17/05/2024 17:50;1;94;2;0;810.91;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;4;21/05/2024;23/05/2024;17/05/2024 15:15;1;94;2;0;367.92;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;4;21/05/2024;22/05/2024;17/05/2024 13:35;1;94;2;0;167.16;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;62;17/07/2024;21/07/2024;16/05/2024 19:05;1;94;2;0;540.61;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;63;18/07/2024;21/07/2024;16/05/2024 19:00;1;94;2;0;472.15;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;14;24/05/2024;25/05/2024;10/05/2024 17:47;1;94;2;0;240.00;0;0;4;NULL;1;PARITYRATE;NULL;0;10;;;NULL
4;2;12/05/2024;16/05/2024;10/05/2024 8:25;1;94;2;0;566.21;0;0;4;NULL;1;PARITYRATE;NULL;0;75;NULL;NULL;NULL
2;20;28/05/2024;30/05/2024;08/05/2024 15:35;1;94;2;0;389.00;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;12;20/05/2024;23/05/2024;08/05/2024 15:20;1;94;4;0;1009.27;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;12;20/05/2024;23/05/2024;08/05/2024 15:20;1;94;4;0;1009.27;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
8;37;10/06/2024;18/06/2024;04/05/2024 22:05;1;94;2;0;1833.01;0;0;4;NULL;1;PARITYRATE;NULL;0;166;;;NULL
5;152;02/10/2024;07/10/2024;03/05/2024 18:40;1;94;2;0;1007.01;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;7;09/05/2024;12/05/2024;02/05/2024 21:30;1;94;2;0;670.00;0;0;4;NULL;1;PARITYRATE;NULL;0;75;;;NULL
1;7;09/05/2024;10/05/2024;02/05/2024 12:45;1;94;2;0;186.90;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;39;09/06/2024;11/06/2024;01/05/2024 12:35;1;94;2;0;400.51;0;0;4;NULL;1;PARITYRATE;NULL;0;10;;;NULL
5;171;16/10/2024;21/10/2024;28/04/2024 11:35;1;94;2;0;1007.01;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;4;19/04/2024;20/04/2024;15/04/2024 15:05;1;94;2;0;150.41;0;0;4;NULL;1;PARITYRATE;NULL;0;231;;;NULL
